item_id,L1,en_target_word,en_target_pos,en_target_clue,L1_source_word,L1_context,GLMM_score,ipa_en,ipa_l1,freq,morpheme_count,char_length,syllables,edit_distance,phon_edit_distance
1,de,span,noun,s___,Zeitraum,Über einen Zeitraum von fünf Monaten wurden Zeugenaussagen gesammelt und Beweise sichergestellt.,-2.76940803,spæn,tsaɪtraʊm,4.07,1,4,1,7,8
2,de,radically,adverb,r________,"fundamental, völlig",Nach unserem Gespräch hat sich seine Einstellung fundamental geändert.,-1.567125557,ɹædɪkli,fʊndaməntɑːl fœlɪç,3.54,2,9,3,15,16
3,de,supermarket,noun,s__________,Supermarkt,Die Frau geht in dem Supermarkt einkaufen. ,1.578899839,suːpɚmɑːɹkɪt,zuːpɜmaɾkt,3.78,1,11,4,2,6
4,de,airplane,noun,a_______,Flugzeug (nicht: aircraft),Der Pilot flog das Flugzeug.,0.127510273,ɛɹpleɪn,fluːɡtsɔøk nɪçt (en)eəkɹaft(de),3.92,1,8,2,22,29
5,de,trying,adjective,t_____,"schwierig, anstrengend","Seine Kinder sind ziemlich anstrengend. (NICHT taxing, NICHT tiring)",-3.642623474,tɹaɪɪŋ,ʃviːrɪç anʃtrɛŋənt,5.47,2,6,2,19,16
6,de,racing,noun,r_____,Rennsport,Als aktiver Fahrer konnte er schon viel Erfahrung im Rennsport sammeln.,0.197889082,ɹeɪsɪŋ,rɛnspɔɾt,4.5,2,6,2,9,7
7,de,sleep,verb,s____,schlafen,"Ich schlafe schon seit Jahren hervorragend dank der Matratze, die wir damals gekauft haben.",2.704855899,sliːp,ʃlɑːfən,5.05,1,5,1,5,5
8,de,military,noun,m_______,Militär,Er ist ein wichtiger Offizier beim Militär.,0.544554828,mɪlətɛɹi,miːliːtɛːɾ,5.2,1,8,3,3,6
9,de,capacity,noun,c_______,"Fassungsvermögen, Rauminhalt, Volumen",Dieser Tank hat ein Fassungsvermögen von dreißig Litern.,-2.044385253,kəpæsᵻɾi,fasʊŋsfɜmøːɡən raʊmɪnhalt voːlʊmən,4.71,1,8,3,33,33
10,de,cane,noun,c___,Rohr-,Ich verwende hauptsächlich Rohrzucker.,-1.344922248,keɪn,roːɾ,3.76,1,4,1,5,4
11,de,knock,verb,k____,"gegen etw stoßen, sich anstoßen",Rosa hat sich ihr Knie an der Tür angestoßen.,-0.47525357,nɑːk,ɡeːɡən ɛtf ʃtoːsən zɪç anʃtoːsən,4.35,1,5,1,28,30
12,de,hallway,noun,h______,"Korridor, Flur, Gang","Die Schüler müssen den langen Flur entlang laufen, um ins Chemielabor zu gelangen. ",-0.446275153,hɔːlweɪ,kɔriːdoːɾ fluːɾ ɡaŋ,3.72,1,7,2,18,16
13,de,displayed,adjective,d________,"ausgelegt, ausgehängt",Die Nachfrage nach den ausgelegten Uhren war groß.,-1.755048423,dɪspleɪd,aʊsɡəleːkt aʊsɡəhɛŋt,4.18,3,9,2,17,17
14,de,challenging,adjective,c__________,"herausfordernd, fordernd",Die herausfordernde Aufgabe konnte gut bewältigt werden.,-0.388801358,tʃæləndʒɪŋ,hɛraʊsfɔɾdɛɾnt fɔɾdɛɾnt,4.27,2,11,3,20,21
15,de,missionary,noun,m_________,Missionar,Sie arbeitete als Missionarin für viele Jahre in Afrika.,-0.859479017,mɪʃənɛɹi,mɪsɪʲoːnɑːɾ,3.83,2,10,3,2,8
16,de,tall,adjective,t___,groß,Er war ein großer und dünner Mann.,1.25600929,tɔːl,ɡroːs,4.52,1,4,1,4,4
17,de,fade,verb,f___,"ausbleichen, verblassen",Die Operationsnarbe verblasst.,-0.185057379,feɪd,aʊsblaɪçən fɛɾblasən,3.86,1,4,1,21,19
18,de,street,noun,s_____,Straße,In dieser Straße wurde Beethoven geboren.,3.406414525,stɹiːt,ʃtrɑːsə,5.28,1,6,1,4,5
19,de,wrist,noun,w____,Handgelenk,Ich habe mir das Handgelenk verstaucht.,0.359557952,ɹɪst,hantɡəlɛŋk,4.01,1,5,1,10,9
20,de,present,adjective,p______,derzeitig,In seinem derzeitigen Zustand sollte er sich nicht zu sehr aufregen.,-0.077003042,pɹɛzənt,dɛɾtsaɪtɪç,5.18,2,7,1,7,9
21,de,softball,noun,s_______,Softball,Softball ist sehr ähnlich wie Baseball und bei vielen Amerikanern sehr beliebt.,2.154828071,sɔftbɔːl,zɔftbal,3.66,1,8,2,1,3
22,de,sit,verb,s__,sitzen,"Den Kindern war so langweilig, dass sie kaum mehr sitzen wollten.",2.631080844,sɪt,zɪtsən,4.9,1,3,1,3,4
23,de,stance,noun,s_____,Einstellung [nicht: stand],Was ist seine Einstellung gegenüber dem Grundeinkommen?,-2.650761357,stæns,aɪnʃtɛlʊŋ nɪçt ʃtant,4.05,1,6,1,22,18
24,de,religious,adjective,r________,gläubig,Die ganze Familie ist sehr gläubig und geht regelmäßig in die Kirche.,1.150954842,ɹᵻlɪdʒəs,ɡlɔøbɪç,4.85,2,9,3,8,7
25,de,shock,verb,s____,entsetzen [nicht: scare],"Heutzutage ist es als Künstler gar nicht mehr so leicht, das Publikum zu entsetzen.",-1.355967472,ʃɑːk,ɛntzɛtsən nɪçt skɑːrə,4.46,1,5,1,21,19
26,de,attend,verb,a_____,"etw besuchen, auf etw sein",Ich besuche die Konferenz im Mai.,-0.187940097,ɐtɛnd,ɛtf bəzuːxən aʊf ɛtf zaɪn,4.55,1,6,2,23,23
27,de,panel,noun,p____,Team (nicht: team),Ein Expertenteam beurteilt die Eignung der Kandidaten.,-3.620795374,pænəl,(en)tiːm(de) nɪçt (en)tiːm(de),4.55,1,5,2,15,29
28,de,slice,noun,s____,Scheibe,Kannst du mir auch bitte noch eine Scheibe Brot abschneiden?,0.781253939,slaɪs,ʃaɪbə,4.0,1,5,1,5,4
29,de,sperm,noun,s____,"Samen (nicht: semen, seeds)","Wenn Samen auf eine gesunde Eizelle trifft, kommt es zur Befruchtung und ein Baby beginnt zu entstehen.",-0.665605007,spɜːm,zɑːmən nɪçt zeːmən zeːts,3.84,1,5,1,25,22
30,de,vietnamese,adjective,v_________,vietnamesisch,Sie liebt die vietnamesische Küche.,-0.455851144,viːʲɛtnəmiːz,vɪʲɛtnameːzɪʃ,3.85,1,10,3,4,6
31,de,murdering,adjective,m________,Mord,Er wurde des Mordes an seiner Frau und seinem Kinde angeklagt.,-2.452214195,mɜːdɚɹɪŋ,mɔɾt,3.72,3,9,3,7,7
32,de,smile,noun,s____,Lächeln,Sie begrüßten uns mit einem breiten Lächeln in ihren Gesichtern.,3.23037624,smaɪl,lɛçəln,4.64,1,5,1,6,5
33,de,blinding,adjective,b_______,"blendend, grell",Ich muss die Augen schließen. Das Licht ist grell.,-1.829146773,blaɪndɪŋ,blɛndənt ɡrɛl,3.2,2,8,2,9,10
34,de,remarkable,adjective,r_________,bemerkenswert,"Das Stück, das gerade im Theater läuft, ist wirklich sehr bemerkenswert.",-0.540535459,ɹᵻmɑːɹkəbəl,bəmɛɾkənsveːɾt,4.29,3,10,3,8,12
35,de,chart,noun,c____,"Diagramm, Grafik, grafische Darstellung (nicht: graph)",Die aktuellen Geburtsraten sind in der Grafik auf Seite 19 dargestellt.,-1.580679661,tʃɑːɹt,diːaɡram ɡrɑfɪk ɡrɑfɪʃə daɾʃtɛlʊŋ nɪçt ɡrɑːf,4.47,1,5,1,49,42
36,de,jumper,noun,j_____,Pullover (nicht: pullover),Er zieht einen warmen Pullover über.,-0.684106069,dʒʌmpɚ,pʊloːvɜ nɪçt pʊloːvɜ,3.7,2,6,2,22,19
37,de,remind,verb,r_____,erinnern,Das Gebäude erinnert an frühere Zeiten.,0.367602909,ɹᵻmaɪnd,ɛɾɪnɜn,4.37,2,6,2,6,6
38,de,nonsense,noun,n_______,Unfug,Glaubst du den Unfug über Ufos?,0.382553342,nɑːnsəns,ʊnfuːk,4.21,1,8,2,7,7
